Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
William Jefferson Clinton Birthplace Home NHS,,0,,0,0,0,0,0,"1,032","1,032"
Wilson's Creek NB,,25,,33,"2,709","3,361",3,-57,0,"3,307"
Wind Cave NP,,37,,77,"2,810","2,707",1,-52,0,"2,656"
Wolf Trap NP,,52,,54,"4,221","4,221",0,-84,0,"4,137"
Women's Rights NHP,,15,,15,"1,599","1,599",0,-33,431,"1,997"
World War II Valor in the Pacific NM,,24,,30,"3,549","3,549",41,-126,500,"3,964"
Wrangell-Saint Elias NP&Pres,,45,,63,"5,417","5,417",86,-101,132,"5,534"
Yellowstone NP,,323,,558,"36,958","36,958",18,-835,0,"36,141"
Yosemite NP,,302,,726,"29,855","29,855",10,-712,500,"29,653"
Yucca House NM,,0,,0,106,106,0,-1,0,105
Yukon-Charley Rivers NPres,,0,,0,"2,055","1,905",21,-33,230,"2,123"
Zion NP,,83,,184,"8,307","8,307",7,-182,0,"8,132"
,,,,,,,,,,
"Subtotal, Park Units",,"12,669",,"18,589","1,415,738","1,408,592",729,"-27,912","38,330","1,419,739"
