Column1,FY 2017 PARK AND PROGRAM SUMMARY ($000),Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column2,Column11
War in the Pacific NHP,17,,,19,"1,574","1,596",9,6,"1,611",,
OPERATION OF THE NATIONAL PARK SYSTEM,Park Base,,,FY 2015,FY 2015,Enacted,and Internal,Program,FY 2017,,
,1,,Total FTE,2,Final^{7},(Ops Plan)^{7},Transfers,Changes,Request,,
National Park Service Park Units,,,,,,,,,,,
Washita Battlefield NHS,9,,,9,760,770,5,0,775,,
Weir Farm NHS,9,,,12,"1,043","1,163",7,2,"1,172",,
"Western Arctic National Parklands - Bering Land Bridge NPres,",,,,,,,,,,,
"Noatak NPres, Cape Krusenstern NM, Kobuk Valley NP",24,,,28,"3,705","3,868",21,5,"3,894",,
Whiskeytown NRA,44,,,69,"4,330","4,401",30,0,"4,431",,
White Sands NM,17,,,24,"1,612","1,635",11,0,"1,646",,
Whitman Mission NHS,7,,,7,803,814,5,0,819,,
William Howard Taft NHS,7,,,7,811,821,5,1,827,,
William Jefferson Clinton Birthplace Home NHS,5,,,5,420,427,4,290,721,,
Wilson's Creek NB,25,,,27,"3,244","3,287",18,0,"3,305",,
Wind Cave NP,27,,,55,"2,610","2,703",19,1,"2,723",,
Wolf Trap NP,46,,,47,"4,127","4,250",28,12,"4,290",,
Women's Rights NHP,10,,,10,"1,567","1,592",7,0,"1,599",,
World War II Valor in the Pacific NM,32,,,34,"3,511","3,628",20,4,"3,652",,
Wrangell-Saint Elias NP&Pres,43,,,61,"5,513","5,775",37,10,"5,822",,
Yellowstone NP,319,,,524,"34,712","35,393",229,1,"35,623",,
Yosemite NP,260,,,611,"28,917","30,983",191,0,"31,174",,
Yucca House NM,0,,,0,104,105,0,0,105,,
Yukon-Charley Rivers NPres,0,,,0,"1,742","1,825",10,0,"1,835",,
Zion NP,73,,,166,"7,621","7,745",49,0,"7,794",,
"Subtotal, Park Units","11,036",,,"15,325","1,288,465","1,323,877","8,168","5,162","1,337,207",,
National Trail System^{4},,,,,,,,,,,
[Appalachian NST],[0],,,[7],"[1,559]","[1,575]",[8],[3],"[1,586]",,
[Potomac Heritage NST],[1],,,[1],[399],[403],[2],[1],[406],,
Ala Kahakai NHT,3,,,6,514,532,3,1,536,,
California NHT,0,,,0,344,347,3,0,350,,
Captain John Smith Chesapeake NHT,0,,,0,381,386,5,0,391,,
El Camino Real de los Tejas NHT,0,,,0,197,198,0,0,198,,
El Camino Real de Tierra Adentro NHT,0,,,0,283,287,2,0,289,,
Ice Age NST,6,,,7,824,832,4,1,837,,
Juan Bautista de Anza NHT,4,,,4,536,542,5,2,549,,
Lewis & Clark NHT,15,,,15,"1,994","2,018",11,0,"2,029",,
Mormon Pioneer NHT,0,,,0,240,244,2,0,246,,
OPERATION OF THE NATIONAL PARK SYSTEM,Park Base,,,FY 2015,FY 2015,Enacted,and Internal,Program,FY 2017,,
,1,,Total FTE,2,Final^{7},(Ops Plan)^{7},Transfers,Changes,Request,,
National Trail System^{4},,,,,,,,,,,
New England NST,0,,,0,127,127,0,0,127,,
North Country NST,2,,,2,895,901,3,0,904,,
Old Spanish NHT,0,,,0,242,243,0,0,243,,
Oregon NHT,0,,,0,424,431,3,0,434,,
Overmountain Victory NHT,0,,,1,336,336,1,0,337,,
Pony Express NHT,0,,,0,248,251,0,0,251,,
Santa Fe NHT,16,,,20,711,713,4,0,717,,
Selma to Montgomery NHT,6,,,6,"1,023","1,431",6,0,"1,437",,
Star Spangled Banner NHT,0,,,0,148,151,0,0,151,,
Trail of Tears NHT,0,,,0,486,490,2,0,492,,
Washington Rochambeau Revolutionary Route NHT,1,,,1,100,104,2,201,307,,
National Trail System Program,0,,,2,369,373,3,7,383,,
"Subtotal, National Trail System",53,,,63,"10,422","10,937",59,212,"11,208",,
"[Total, National Trail System with Park Units]",[54],,,[72],"[12,380]","[12,915]",[69],[216],"[13,200]",,
Partnership Wild & Scenic Rivers,,,,,,,,,,,
Eightmile WSR,0,,,0,67,67,0,103,170,,
Farmington (West Branch) WSR,0,,,0,172,172,0,0,172,,
Lamprey WSR,0,,,0,171,171,0,0,171,,
Lower Delaware WSR,0,,,0,172,172,0,0,172,,
Maurice WSR,0,,,0,173,173,0,0,173,,
Missisquoi and Trout Rivers WSR,0,,,0,0,125,0,45,170,,
Musconetcong WSR,0,,,0,111,111,0,59,170,,
"Sudbury, Assabet, Concord WSR",0,,,0,173,173,0,0,173,,
Taunton WSR,0,,,0,30,30,0,140,170,,
Wekiva WSR,0,,,0,114,114,0,56,170,,
Westfield WSR,0,,,0,134,134,0,36,170,,
White Clay Creek WSR,0,,,0,173,173,0,0,173,,
Wild & Scenic River Program,0,,,0,53,54,0,0,54,,
"Subtotal, Partnership W&S Rivers",0,,,0,"1,543","1,669",0,439,"2,108",,
Affiliated Areas,,,,,,,,,,,
American Memorial Park,13,,,13,"1,562","1,580",11,0,"1,591",,
Gloria Dei (Old Swedes') Church NHS,0,,,0,33,33,0,0,33,,
Ice Age National Scientific Reserve,0,,,0,740,740,0,0,740,,
Lower Eastside Tenement Museum,0,,,0,249,249,0,0,249,,
Oklahoma City NMem,6,,,6,779,787,5,0,792,,
Pinelands NR,0,,,0,302,302,0,0,302,,
Roosevelt Campobello International Park,0,,,0,"1,492","1,492",0,0,"1,492",,
OPERATION OF THE NATIONAL PARK SYSTEM,Park Base,,,FY 2015,FY 2015,Enacted,and Internal,Program,FY 2017,,
,1,,Total FTE,2,Final^{7},(Ops Plan)^{7},Transfers,Changes,Request,,
Affiliated Areas,,,,,,,,,,,
Sewall-Belmont House NHS,0,,,0,95,635,0,0,635,,
Thomas Cole NHS,0,,,0,158,158,0,0,158,,
"Subtotal, Affiliated Areas",19,,,19,"5,410","5,976",16,0,"5,992",,
Other Field Offices & Partner Organizations,,,,,,,,,,,
Accokeek Foundation,0,,,0,750,750,0,0,750,,
Alice Ferguson Foundation,0,,,0,195,195,0,0,195,,
Anchorage Interagency Visitor Center,5,,,5,647,680,5,1,686,,
Beringia,0,,,2,650,666,3,1,670,,
Chesapeake Bay Office,6,,,15,475,479,4,5,488,,
Erie Canalway NHA,1,,,1,258,262,2,1,265,,
Fairbanks Interagency Visitor Center,3,,,5,628,661,5,1,667,,
Johnstown Area Heritage Associate Museum,0,,,0,44,44,0,0,44,,
Lower Mississippi Delta Technical Assistance,0,,,0,230,230,0,0,230,,
Maine Acadian Culture Comm Technical Assistance,0,,,0,97,97,0,0,97,,
Masau Trail,0,,,0,34,34,0,0,34,,
National Capital Area Performing Arts Program,0,,,0,"2,227","2,227",0,"-2,227",0,,
Route 66 National Historic Highway,0,,,0,287,289,1,0,290,,
"Subtotal, Other Field Offices",15,,,28,"6,522","6,614",20,"-2,218","4,416",,
United States Park Police Operations^{6},,,,,,,,,,,
[Gateway NRA - USPP Operations],[0],,,[52],"[8,615]","[8,762]",[58],[0],"[8,820]",,
[Golden Gate NRA - USPP Operations],[0],,,[29],"[5,664]","[5,777]",[33],[0],"[5,810]",,
[Statue of Liberty NM & Ellis Island - USPP Operations],[0],,,[83],"[11,292]","[11,482]",[93],[0],"[11,575]",,
Washington D.C. Metropolitan Area - USPP Operations,0,,,334,"53,068","53,918",370,0,"54,288",,
"Subtotal, USPP Operations",0,,,334,"53,068","53,918",370,0,"54,288",,
"[Subtotal, USPP Operations - All Units]",[0],,,[498],"[78,639]","[79,939]",[554],[0],"[80,493]",,
To Be Distributed - Every Kid in a Park - Support for Coordinators,,,,,0,0,0,"8,500","8,500",,
To Be Distributed - Seasonal Health Benefits,,,,,0,0,0,"8,146","8,146",,
"Total, Park Base^{5}","11,123",,,"15,770","1,365,430","1,402,991","8,633","20,241","1,431,865",,
,Park Base,,,FY 2015,FY 2015,Enacted,and Internal,Program,FY 2017,,
OPERATION OF THE NATIONAL PARK SYSTEM,1,,Total FTE,2,Final^{7},(Ops Plan)^{7},Transfers,Changes,Request,,
Central Offices,,,,,,,,,,,
Alaska Region,0,,,95,"15,077","15,824",112,"1,163","17,099",,
Intermountain Region,0,,,164,"22,968","23,330",179,56,"23,565",,
Midwest Region,0,,,80,"11,885","12,050",89,8,"12,147",,
National Capital Region,0,,,89,"14,310","14,530",114,"1,856","16,500",,
Northeast Region,0,,,170,"28,168","28,509",192,83,"28,784",,
Pacific West Region,0,,,99,"17,632","17,933",129,71,"18,133",,
Southeast Region,0,,,85,"12,341","12,542",106,53,"12,701",,
Washington Office,0,,,296,"80,751","79,931",374,255,"80,560",,
"Total, Central Offices",0,,,"1,078","203,132","204,649","1,295","3,545","209,489",,
Program/Support Offices,,,,,,,,,,,
Park Administrative Support Functions,,,,,,,,,,,
Accounting Operations Center,0,,,109,"12,776","12,956",92,36,"13,084",,
Park Concession Program,0,,,24,"4,543","4,593",25,0,"4,618",,
Human Resources Operation Center,0,,,74,"7,654","7,751",57,0,"7,808",,
Information Technology Programs,0,,,75,"28,333","35,429",93,"2,585","38,107",,
Major Acquisition Buying Offices,0,,,0,"17,275","17,515",129,0,"17,644",,
Servicing Human Resources Office,0,,,0,"19,390","19,669",152,0,"19,821",,
Training Programs:,,,,,,,,,,,
Learning and Development Program,0,,,69,"14,986","15,116",69,0,"15,185",,
Federal Law Enforcement Training Center,0,,,14,"4,140","4,177",20,0,"4,197",,
"Subtotal, Park Administrative Support Functions",0,,,365,"109,097","117,206",637,"2,621","120,464",,
Park Natural Resource Support Functions,,,,,,,,,,,
Air Quality Program,0,,,24,"7,978","8,028",28,0,"8,056",,
Biological Resource Management Program,0,,,24,"12,245","12,409",23,0,"12,432",,
Geologic Resource Center,0,,,18,"2,987","3,019",16,"2,050","5,085",,
Cooperative Landscape Conservation,0,,,10,"1,489","1,505",7,0,"1,512",,
Inventory and Monitoring Program,0,,,272,"43,572","44,151",240,84,"44,475",,
Natural Resources Data & Information Program,0,,,7,"1,271","1,284",8,0,"1,292",,
Natural Sounds Program,0,,,16,"3,612","3,634",17,0,"3,651",,
Resource Damage Assessment & Restoration,0,,,7,"1,345","1,362",9,0,"1,371",,
Social Science Program,0,,,5,"1,589","1,600",6,0,"1,606",,
,Park Base,,,FY 2015,FY 2015,Enacted,and Internal,Program,FY 2017,,
OPERATION OF THE NATIONAL PARK SYSTEM,1,,Total FTE,2,Final^{7},(Ops Plan)^{7},Transfers,Changes,Request,,
Program/Support Offices,,,,,,,,,,,
Everglades Restoration and Research:,,,,,,,,,,,
South Florida Comprehensive Ecosystem Restoration Plan,0,,,20,"4,752","4,806",20,0,"4,826",,
South Florida Critical Ecosystem Studies Initiative,0,,,6,"3,855","3,870",6,0,"3,876",,
South Florida Task Force Support,0,,,4,"1,316","1,325",5,0,"1,330",,
Water Resources Program,0,,,48,"12,955","13,066",56,0,"13,122",,
"Subtotal, Park Natural Resource Support Functions",0,,,461,"98,966","100,059",441,"2,134","102,634",,
Park Cultural Resource Support Functions,,,,,,,,,,,
Field Resource Centers:,,,,,,,,,,,
Midwest Archeological Center,0,,,13,"1,234","1,264",16,0,"1,280",,
National Capital Museum Resource Center,0,,,3,634,641,4,0,645,,
Southeast Archeological Center,0,,,8,934,967,15,0,982,,
Western Archeological Center,0,,,6,"1,204","1,223",7,2,"1,232",,
National Underground Railroad to Freedom Management,0,,,1,843,845,3,0,848,,
"Subtotal, Park Cultural Resource Support Functions",0,,,31,"4,849","4,940",45,2,"4,987",,
Park Facility Maintenance Support Functions,,,,,,,,,,,
D.C. Water & Sewer Program,0,,,0,"10,452","10,452",0,0,"10,452",,
Land Use Planning,0,,,0,150,150,0,0,150,,
Facility Management Program Support:,,,,,,,,,,,
Facility Management Software System,0,,,8,"4,057","4,075",9,0,"4,084",,
Condition Assessment Program,0,,,16,"14,458","14,491",20,0,"14,511",,
"Subtotal, Park Facility Maintenance Support Functions",0,,,24,"29,117","29,168",29,0,"29,197",,
Park Interpretation & Education Support Functions,,,,,,,,,,,
Informational Publications,0,,,21,"3,231","3,275",24,0,"3,299",,
Interpretation and Education Programs,0,,,11,"1,753","1,768",12,0,"1,780",,
"Subtotal, Park Interpretation & Education Support Functions",0,,,32,"4,984","5,043",36,0,"5,079",,
Park Visitor Protection Support Functions,,,,,,,,,,,
Public Health Program,0,,,3,"2,129","2,135",3,0,"2,138",,
Special Agents (Criminal Investigators),0,,,40,"6,858","6,951",49,0,"7,000",,
Structural Fire Program,0,,,0,"1,395","1,409",5,0,"1,414",,
SW Border Radio Communications Program,0,,,0,583,583,0,0,583,,
United States Park Police Headquarters,0,,,143,"23,395","23,518",158,"2,425","26,101",,
"Subtotal, Park Visitor Protection Support Functions",0,,,186,"34,360","34,596",215,"2,425","37,236",,
,Park Base,,,FY 2015,FY 2015,Enacted,and Internal,Program,FY 2017,,
OPERATION OF THE NATIONAL PARK SYSTEM,1,,Total FTE,2,Final^{7},(Ops Plan)^{7},Transfers,Changes,Request,,
Program/Support Offices,,,,,,,,,,,
Park Partnership Support Functions,,,,,,,,,,,
Volunteers In Parks Program,0,,,0,"4,776","6,776",0,0,"6,776",,
Youth Partnership Programs,0,,,4,571,578,5,0,583,,
"Subtotal, Park Partnership Support Functions",0,,,4,"5,347","7,354",5,0,"7,359",,
"Total, Program/Support Offices",0,,,"1,103","286,720","298,366","1,408","7,182","306,956",,
Project Funding,,,,,,,,,,,
Natural Resources Project Funds,,,,,,,,,,,
Natural Resources,0,,,0,"8,316","9,816",0,"3,000","12,816",,
SW Border Resource Restoration Program,0,,,0,971,971,0,0,971,,
"Subtotal, Naltural Resources Project Funds",0,,,0,"9,287","10,787",0,"3,000","13,787",,
"Cultural Resources Project Funds
Cultural Resources",0,,,0,"21,683","27,183",0,"2,000","29,183",,
"Subtotal, Cultural Resources Project Funds",0,,,0,"21,683","27,183",0,"2,000","29,183",,
Facility Maintenance Project Funds,,,,,,,,,,,
Cyclic Maintenance,0,,,0,"95,386","112,886",0,"46,633","159,519",,
Emergency Storm Damage Program,0,,,0,"2,712","2,712",0,0,"2,712",,
Environmental Management Program,0,,,0,"6,113","6,113",0,0,"6,113",,
Repair/Rehabilitation Projects,0,,,0,"81,961","99,461",0,"49,200","148,661",,
"Subtotal, Facility Maintenance Project Funds",0,,,0,"186,172","221,172",0,"95,833","317,005",,
"Interpretation & Education Project Funds
Interpretation & Education Program",0,,,0,"1,348","1,848",0,"11,500","13,348",,
"Subtotal, Interpretation & Education Project Funds",0,,,0,"1,348","1,848",0,"11,500","13,348",,
Partnership Project Funds,,,,,,,,,,,
Challenge Cost Share Program,0,,,0,386,386,0,0,386,,
Connecting National Trails to Park Program,0,,,0,925,925,0,0,925,,
Flex Park Projects,0,,,0,"9,710","9,710",0,0,"9,710",,
Youth Partnership Program,0,,,0,"10,976","10,976",0,0,"10,976",,
"Subtotal, Partnership Project Funds",0,,,0,"21,997","21,997",0,0,"21,997",,
"Total, Projects",0,,,0,"240,487","282,987",0,"112,333","395,320",,
"Subtotal, Park Management",,,,,"2,095,769","2,188,993","11,336","143,301","2,343,630",,
External Administrative Costs,,,,,"180,004","180,603",129,0,"180,732",,
"Total, Operation of the National Park System",,,,,"2,275,773","2,369,596","11,465","143,301","2,524,362",,
