"Column1","Column2","Column3","Column4","Column5","Column6","Column7","Column8","Column9","Column10","Column11"
"Wilson's Creek NB","","28","","30","3,233","3,244","43","0","3,287",""
"Wind Cave NP","","28","","55","2,594","2,610","40","38","2,688",""
"Wolf Trap NP","","44","","46","4,039","4,155","61","0","4,216",""
"Women's Rights NHP","","15","","15","1,530","1,567","22","0","1,589",""
"World War II Valor in the Pacific NM","","32","","34","3,494","3,511","42","75","3,628",""
"Wrangell-Saint Elias NP&Pres","","41","","58","5,408","5,513","74","180","5,767",""
"Yellowstone NP","","325","","521","34,374","34,712","488","0","35,200",""
"Yosemite NP","","255","","613","28,600","28,909","392","1,673","30,974",""
"Yucca House NM","","0","","0","103","104","2","0","106",""
"Yukon-Charley Rivers NPres","","0","","0","1,733","1,742","24","58","1,824",""
"Zion NP","","73","","168","7,581","7,621","102","0","7,723",""
"Subtotal, Park Units","","11,238","","15,426","1,247,079","1,263,870","17,860","12,050","1,293,780",""
"National Trail System^{4,6}","","","","","","","","","",""
"[Appalachian NST]","","[0]","","[8]","[1,523]","[1,559]","[18]","[0]","[1,515]",""
"[Potomac Heritage NST]","","[1]","","[1]","[388]","[389]","[4]","[0]","[393]",""
"Ala Kahakai NHT","","4","","5","511","514","7","12","533",""
"California NHT","","0","","0","343","344","3","0","347",""
"Captain John Smith Chesapeake NHT","","0","","0","365","381","6","0","387",""
"OPERATION OF THE NATIONAL PARK SYSTEM","FTE","1","FTE","2","Final^{3}","(Ops Plan)^{3}","Transfers","Changes","Request",""
"National Trail System^{4,6}","","","","","","","","","",""
"El Camino Real de los Tejas NHT","","0","","0","196","197","1","0","198",""
"El Camino Real de Tierra Adentro NHT","","0","","0","282","283","3","0","286",""
"Ice Age NST","","7","","7","821","824","11","0","835",""
"Juan Bautista de Anza NHT","","3","","3","533","536","7","0","543",""
"Lewis & Clark NHT","","17","","18","1,987","1,994","29","0","2,023",""
"Mormon Pioneer NHT","","0","","0","239","240","4","0","244",""
"New England NST","","0","","0","127","127","1","0","128",""
"North Country NST","","2","","2","892","895","7","0","902",""
"Old Spanish NHT","","0","","0","241","242","2","0","244",""
"Oregon NHT","","0","","0","421","424","6","0","430",""
"Overmountain Victory NHT","","0","","1","336","336","0","0","336",""
"Pony Express NHT","","0","","0","247","248","3","0","251",""
"Santa Fe NHT","","19","","21","708","711","8","0","719",""
"Selma to Montgomery NHT","","7","","7","974","1,023","10","400","1,433",""
"Star Spangled Banner NHT","","0","","0","147","148","3","0","151",""
"Trail of Tears NHT","","0","","0","485","486","4","0","490",""
"Washington Rochambeau Revolutionary Route NHT","","2","","2","97","100","6","0","106",""
"National Trail System Program","","0","","2","367","369","5","0","374",""
"Subtotal, National Trail System","","61","","68","10,319","10,422","124","412","10,958",""
"[Total, National Trail System with Park Units]","","[62]","","[77]","[12,230]","[12,370]","[146]","[412]","[12,866]",""
"Partnership Wild & Scenic Rivers","","","","","","","","","",""
"Eightmile WSR","","0","","0","67","67","0","0","67",""
"Farmington (West Branch) WSR","","0","","0","172","172","0","0","172",""
"Great Egg Harbor WSR","","0","","0","172","172","0","0","172",""
"Lamprey WSR","","0","","0","171","171","0","0","171",""
"Lower Delaware WSR","","0","","0","172","172","0","0","172",""
"Maurice WSR","","0","","0","173","173","0","0","173",""
"Missisquoi and Trout Rivers WSR","","0","","0","0","0","0","125","125",""
"Musconetcong WSR","","0","","0","111","111","0","0","111",""
"Sudbury, Assabet, Concord WSR","","0","","0","173","173","0","0","173",""
"Taunton WSR","","0","","0","30","30","0","0","30",""
"Wekiva WSR","","0","","0","114","114","0","0","114",""
"OPERATION OF THE NATIONAL PARK SYSTEM","FTE","1","FTE","2","Final^{3}","(Ops Plan)^{3}","Transfers","Changes","Request",""
"Partnership Wild & Scenic Rivers","","","","","","","","","",""
"Westfield WSR","","0","","0","134","134","0","0","134",""
"White Clay Creek WSR","","0","","0","173","173","0","0","173",""
"Wild & Scenic River Program","","0","","0","53","53","1","0","54",""
"Subtotal, Partnership W&S Rivers","","0","","0","1,715","1,715","1","125","1,841",""
"Affiliated Areas","","","","","","","","","",""
"American Memorial Park","","10","","10","1,555","1,562","21","0","1,583",""
"Gloria Dei (Old Swedes') Church NHS","","0","","0","33","33","1","0","34",""
"Ice Age National Scientific Reserve","","0","","0","740","740","0","0","740",""
"Lower Eastside Tenement Museum","","0","","0","249","249","0","0","249",""
"Oklahoma City NMem","","5","","5","774","779","10","0","789",""
"Pinelands NR","","0","","0","302","302","0","0","302",""
"Roosevelt Campobello International Park","","0","","0","1,492","1,492","0","0","1,492",""
"Sewall-Belmont House NHS","","0","","0","95","95","0","0","95",""
"Thomas Cole NHS","","0","","0","158","158","0","0","158",""
"Subtotal, Affiliated Areas","","15","","15","5,398","5,410","31","0","5,441",""
"Other Field Offices & Partner Organizations","","","","","","","","","",""
"Accokeek Foundation","","0","","0","750","750","0","0","750",""
"Alice Ferguson Foundation","","0","","0","195","195","0","0","195",""
"Anchorage Interagency Visitor Center","","5","","5","644","647","10","22","679",""
"Beringia","","2","","2","648","650","5","12","667",""
"Brown v. Board Technical Assistance","","0","","0","0","0","0","0","0",""
"Chesapeake Bay Office","","7","","16","472","475","9","0","484",""
"Erie Canalway NHA","","1","","1","256","258","4","0","262",""
"Fairbanks Interagency Visitor Center","","5","","5","625","628","10","24","662",""
"John H. Chafee Blackstone River Valley Technical Assistance","","2","","3","272","0","0","0","0",""
"Johnstown Area Heritage Associate Museum","","0","","0","44","44","0","0","44",""
"Lower Mississippi Delta Technical Assistance","","0","","0","230","230","0","0","230",""
"Maine Acadian Culture Comm Technical Assistance","","0","","0","97","97","0","0","97",""
"Masau Trail","","0","","0","34","34","0","0","34",""
"OPERATION OF THE NATIONAL PARK SYSTEM","","1","FTE","2","Final^{3}","(Ops Plan)^{3}","Transfers","Changes","Request",""
"Other Field Offices & Partner Organizations","","","","","","","","","",""
"National Capital Area Performing Arts Program","","0","","0","2,227","2,227","0","-2,227","0",""
"Route 66 National Historic Highway","","0","","0","286","287","2","0","289",""
"Subtotal, Other Field Offices","","22","","32","6,780","6,522","41","-2,169","4,394",""
"United States Park Police Operations^{9}","","","","","","","","","",""
"Gateway NRA","","0","","68","8,567","8,615","166","0","8,781",""
"Golden Gate NRA","","0","","53","5,633","5,664","128","0","5,792",""
"Statue of Liberty NM & Ellis Island","","0","","88","11,229","11,292","215","0","11,507",""
"Washington D.C. Metropolitan Area","","0","","398","52,773","53,068","963","0","54,031",""
"Subtotal, USPP Operations","","0","","607","78,202","78,639","1,472","0","80,111",""
"To Be Distributed - Support Centennial Seasonals","","","","","[0]","[8,000]","0","8,000","8,000",""
"To Be Distributed - Seasonal Health Benefits","","","","","[0]","[0]","210","16,291","16,501",""
"To Be Distributed - Youth Engagement Coordinators","","","","","[0]","[0]","0","8,500","8,500",""
"Total, Park Base","7","11,336","","16,148","1,349,493","1,366,578","19,739","43,209","1,429,526",""
"Central Offices","","","","","","","","","",""
"Alaska Region","","0","","97","14,884","14,977","237","541","15,755",""
"Intermountain Region","","0","","173","22,807","22,968","411","0","23,379",""
"Midwest Region","","0","","80","11,770","11,845","189","0","12,034",""
"National Capital Region","","0","","89","13,923","14,013","244","0","14,257",""
"Northeast Region","","0","","143","27,736","27,881","381","0","28,262",""
"Pacific West Region","","0","","101","17,517","17,632","274","55","17,961",""
"Southeast Region","","0","","87","12,217","12,301","226","0","12,527",""
"Washington Office","","0","","316","81,743","82,156","853","0","83,009",""
"Total, Central Offices","","0","","1,086","202,597","203,773","2,815","596","207,184",""
"OPERATION OF THE NATIONAL PARK SYSTEM","FTE","1","FTE","2","Final^{3}","(Ops Plan)^{3}","Transfers","Changes","Request",""
"Program/Support Offices","","","","","","","","","",""
"Park Administrative Support Functions","","","","","","","","","",""
"Accounting Operations Center","","0","","113","12,694","12,776","212","0","12,988",""
"Park Concession Program","","0","","26","4,522","4,543","57","0","4,600",""
"Human Resources Operation Center","","0","","78","7,612","7,654","119","0","7,773",""
"Information Technology Programs","","0","","77","27,323","27,403","205","0","27,608",""
"Major Acquisition Buying Offices","","0","","0","16,563","16,664","254","30","16,948",""
"Servicing Human Resources Office","","0","","0","19,311","19,430","323","10","19,763",""
"Training Programs:","","","","","","","","","",""
"Learning and Development Program","","0","","72","14,929","14,986","150","0","15,136",""
"Federal Law Enforcement Training Center","","0","","13","4,125","4,140","41","0","4,181",""
"Subtotal, Park Administrative Support Functions","","0","","379","107,079","107,596","1,363","40","108,999",""
"Park Natural Resource Support Functions","","","","","","","","","",""
"Air Quality Program","","0","","23","8,072","8,095","57","0","8,152",""
"Biological Resource Management Program","","0","","26","12,263","12,286","53","119","12,458",""
"Geologic Resource Center","","0","","21","3,011","3,028","37","0","3,065",""
"Cooperative Landscape Conservation","","0","","11","1,481","1,489","19","0","1,508",""
"Inventory and Monitoring Program","","0","","267","43,469","43,672","515","138","44,325",""
"Natural Resources Data & Information Program","","0","","13","1,264","1,271","17","1,200","2,488",""
"Natural Sounds Program","","0","","13","3,180","3,189","25","0","3,214",""
"Resource Damage Assessment & Restoration","","0","","7","1,337","1,345","19","0","1,364",""
"Social Science Program","","0","","5","1,624","1,630","12","0","1,642",""
"Everglades Restoration and Research:","","","","","","","0","","",""
"South Florida Comprehensive Ecosystem Restoration Plan","","0","","24","4,720","4,752","53","0","4,805",""
"South Florida Critical Ecosystem Studies Initiative","","0","","7","3,845","3,855","16","0","3,871",""
"South Florida Task Force Support","","0","","4","1,311","1,316","9","0","1,325",""
"Water Resources Program","","0","","50","12,952","12,996","125","1,250","14,371",""
"Subtotal, Park Natural Resource Support Functions","","0","","471","98,529","98,924","959","2,707","102,590",""
"OPERATION OF THE NATIONAL PARK SYSTEM","FTE","1","FTE","2","Final^{3}","(Ops Plan)^{3}","Transfers","Changes","Request",""
"Park Cultural Resource Support Functions","","","","","","","","","",""
"Field Resource Centers:","","","","","","","","","",""
"Midwest Archeological Center","","0","","14","1,225","1,234","33","0","1,267",""
"National Capital Museum Resource Center","","0","","4","631","634","8","0","642",""
"Southeast Archeological Center","","0","","8","922","934","32","0","966",""
"Western Archeological Center","","0","","7","1,195","1,204","22","0","1,226",""
"National Underground Railroad to Freedom Management","","0","","1","841","843","3","0","846",""
"Subtotal, Park Cultural Resource Support Functions","","0","","34","4,814","4,849","98","0","4,947",""
"Park Facility Maintenance Support Functions","","","","","","","","","",""
"D.C. Water & Sewer Program","","0","","0","9,996","10,452","0","0","10,452",""
"Land Use Planning","","0","","0","150","150","0","0","150",""
"Facility Management Program Support:","","","","","","","","","",""
"Facility Management Software System","","0","","6","4,049","4,057","20","0","4,077",""
"Condition Assessment Program","","0","","18","14,444","14,458","38","0","14,496",""
"Subtotal, Park Facility Maintenance Support Functions","","0","","24","28,639","29,117","58","0","29,175",""
"Park Interpretation & Education Support Functions","","","","","","","","","",""
"Informational Publications","","0","","25","3,210","3,231","51","0","3,282",""
"Interpretation and Education Programs","","0","","9","1,745","1,753","18","0","1,771",""
"Subtotal, Park Interpretation & Education Support Functions","","0","","34","4,955","4,984","69","0","5,053",""
"Park Visitor Protection Support Functions","","","","","","","","","",""
"Public Health Program","","0","","3","2,127","2,129","6","0","2,135",""
"Special Agents (Criminal Investigators)","","0","","39","6,667","6,706","104","0","6,810",""
"Structural Fire Program","","0","","0","1,295","1,301","14","0","1,315",""
"SW Border Radio Communications Program","","0","","0","583","583","0","0","583",""
"United States Park Police Headquarters","","0","","58","23,265","23,395","140","0","23,535",""
"Subtotal, Park Visitor Protection Support Functions","","0","","100","33,937","34,114","265","0","34,379",""
"OPERATION OF THE NATIONAL PARK SYSTEM","FTE","1","FTE","2","Final^{3}","(Ops Plan)^{3}","Transfers","Changes","Request",""
"Park Partnership Support Functions","","","","","","","","","",""
"Volunteers In Parks Program","","0","","0","2,776","4,776","0","2,000","6,776",""
"Youth Partnership Programs","","0","","2","568","571","8","0","579",""
"Subtotal, Park Partnership Support Functions","","0","","2","3,344","5,347","8","2,000","7,355",""
"Total, Program/Support Offices","","0","","1,044","281,297","284,931","2,821","4,747","292,499",""
"PROJECT FUNDING","","","","","","","","","",""
"Natural Resources Project Funds","","","","","","","","","",""
"Natural Resources","","0","","0","8,316","8,316","0","3,500","11,816",""
"Challenge Cost Share Resiliency Projects","","0","","0","0","0","0","10,000","10,000",""
"SW Border Resource Restoration Program","","0","","0","971","971","0","0","971",""
"Subtotal, Natural Resources Project Funds","","0","","0","9,287","9,287","0","13,500","22,787",""
"Cultural Resources Project Funds
Cultural Resources","","0","","0","21,683","21,683","0","8,500","30,183",""
"Subtotal, Cultural Resources Project Funds","","0","","0","21,683","21,683","0","8,500","30,183",""
"Facility Maintenance Project Funds","","","","","","","","","",""
"Cyclic Maintenance","","0","","0","95,386","95,386","0","64,133","159,519",""
"Emergency Storm Damage Program","","0","","0","2,712","2,712","0","0","2,712",""
"Environmental Management Program","","0","","0","6,113","6,113","0","0","6,113",""
"Repair/Rehabilitation Projects","","0","","0","71,040","81,961","0","66,700","148,661",""
"Subtotal, Facility Maintenance Project Funds","","0","","0","175,251","186,172","0","130,833","317,005",""
"Interpretation & Education Project Funds
Interpretation & Education Program","","0","","0","1,348","1,348","0","12,000","13,348",""
"Subtotal, Interpretation & Education Project Funds","","0","","0","1,348","1,348","0","12,000","13,348",""
"OPERATION OF THE NATIONAL PARK SYSTEM","FTE","1","FTE","2","Final^{3}","(Ops Plan)^{3}","Transfers","Changes","Request",""
"Partnership Project Funds","","","","","","","","","",""
"Challenge Cost Share Program","","0","","0","386","386","0","0","386",""
"Connecting National Trails to Park Program","","0","","0","925","925","0","0","925",""
"Flex Park Projects","","0","","0","9,710","9,710","0","0","9,710",""
"Youth Partnership Program","","0","","0","6,976","10,976","0","0","10,976",""
"Subtotal, Partnership Project Funds","","0","","0","17,997","21,997","0","0","21,997",""
"Total, Projects","","0","","0","225,566","240,487","0","164,833","405,320",""
"Total, Park Management","","","","","2,058,953","2,095,769","25,374","213,385","2,334,528",""
"External Administrative Costs","","","","","177,800","180,004","599","0","180,603",""
"Grand Total","","","","","2,236,753","2,275,773","25,973","213,385","2,515,131",""
"","","","","","","","Footnotes:
^{1} Represents Full-Time Equivalents (FTE) funded from park base operating dollars.
^{2} Total FTE shown for parks in the ""Operation of the National Park System"" account are by organization, irrespective of funding source. For example, some temporary positions in parks are funded from construction, recreation fees,
etc.
^{3} When different from previously listed levels, the FY 2014 Final amounts reflect presentation adjustments or shifts of funds within reprogramming guidelines. NOTE: The FY 2015 Omnibus Bill required the NPS to present an Ops
Plan for the Operation of the National Park System (ONPS) Appropriation; this column reflects that Ops Plan.
^{4} With the 2013 implementation of the new Financial and Business Management System (FBMS), budget consolidation of units primarily operated through other units was considered. Since function sharing was already occurring,
the budget consolidation was reasonable and efficient. These 2013 budget consolidations were: Arlington House, Clara Barton NHS, and Theodore Roosevelt Island NMem under George Washington Memorial Parkway; Presidio
under Golden Gate NRA; Natchez Trace NST under the Natchez Trace Parkway/Brices Crossroads NBS/Tupelo NB group; and Baltimore-Washington Parkway, Carter G. Woodson Home NHS, Fort Washington Park, Frederick
Douglass NHS, Greenbelt Park, Mary McLeod Bethune Council House NHS, under National Capital Parks-East and Ford's Theater NHS under National Mall and Memorial Parks.
^{5} This unit is currently authorized but not officially established; it is not included in the count of NPS units. (As of December 19, 2014, four new units were added, bringing the park unit count to 405.)
^{6} The National Trail System includes three units that are designated as park units. The two that have separate budget allocations are additionally listed here, in brackets, to show the total National Trail System budget level.
^{7} The NPS uses these totals when responding to inquiries as to the amount of funding directly available for ""park base operations."" Items which follow this total also support park operations, but are managed at the Regional or
Servicewide level.
^{8} Harriet Tubman Underground Railroad NM includes funding for Harriet Tubman NHP, which is a separate authorized unit but is not officially established.
^{9} Funding for USPP Headquarters is reflected under Park Visitor Protection Support Functions.","","",""
