"Column1","Column2","Column3","Column4","Column5","Column6","Column7","Column8","OPERATION OF THE NATIONAL PARK SYSTEM ORGANIZATIONS","FY 2017
Park Base
FTE^{1}","FY 2017
Total FTE^{2}","FY 2017
Final^{6}","FY 2018
Annualized
CR","FY 2019
Fixed Costs
& Internal
Transfers","FY 2019
Program
Changes^{9}","FY 2019
Request^{9}"
"Vicksburg NMP","28","29","3218","3218","22","-362","2878","","","","","","","",""
"Virgin Islands Coral Reef NM","0","0","455","455","0","-51","404","","","","","","","",""
"Virgin Islands NP","41","48","5081","5081","33","-571","4543","","","","","","","",""
"Voyageurs NP","40","67","4222","4222","33","-473","3782","","","","","","","",""
"Waco Mammoth NM","2","2","375","375","1","-42","334","","","","","","","",""
"War in the Pacific NHP","19","21","1607","1607","15","-179","1443","","","","","","","",""
"Washita Battlefield NHS","8","8","773","773","6","-87","692","","","","","","","",""
"Weir Farm NHS","8","11","1169","1169","7","-131","1045","","","","","","","",""
"West. Arctic Parklands - Bering Land Bridge NPres, Noatak NPres, Cape Krusenstern
NM, Kobuk Valley NP","22","24","3883","3883","18","-435","3466","","","","","","","",""
"Whiskeytown NRA","40","68","4416","4416","32","-495","3953","","","","","","","",""
"White Sands NM","14","24","1640","1640","12","-184","1468","","","","","","","",""
"Whitman Mission NHS","9","9","817","817","7","-92","732","","","","","","","",""
"William Howard Taft NHS","8","8","869","869","7","-97","779","","","","","","","",""
