"Column1","Column2","Column3","Column4","Column5","Column6","Column7","Column8"
"Lower Eastside Tenement Museum","0","0","249","249","0","0","249"
"Oklahoma City NMem","8","8","831","831","32","24","887"
"Pinelands NR","0","0","301","301","0","0","301"
"Roosevelt Campobello International Park","0","0","1,658","1,658","0","33","1,691"
"Thomas Cole NHS","0","0","158","158","0","0","158"
"Subtotal, Affiliated Areas","16","18","5,622","5,622","74","94","5,790"
"Other Field Offices & Partner Organizations","","","","","","",""
"400 Years of African American History Commission","0","0","3,300","3,300","0","0","3,300"
"Accokeek Foundation","0","0","749","749","0","0","749"
"Alice Ferguson Foundation","0","0","195","195","0","0","195"
"Anchorage Interagency Visitor Center","6","6","717","717","24","20","761"
"Beringia","0","0","671","671","0","3","674"
"Chesapeake Bay Office","2","6","498","498","15","511","1,024"
"Erie Canalway NHA Commission","1","1","275","275","9","7","291"
"Fairbanks Interagency Visitor Center","5","5","703","703","29","20","752"
"Johnstown Area Heritage Associate Museum","0","0","44","44","0","0","44"
"Lower Mississippi Delta Technical Assistance","0","0","230","230","0","0","230"
"Maine Acadian Culture Comm Technical Assistance","0","0","98","98","0","1","99"
"Masau Trail","0","0","34","34","0","0","34"
"National Capital Area Performing Arts Program","0","0","2,227","2,227","0","-2,227","0"
"National Park Foundation","0","0","5,000","5,000","0","0","5,000"
"Route 66 National Historic Highway","0","0","298","298","0","4","302"
"Semiquincentennial Commission","0","0","8,000","8,000","0","-8,000","0"
"Subtotal, Other Field Offices","13","18","23,039","23,039","77","-9,661","13,455"
"United States Park Police Operations
United States Park Police Operations","0","427","86,414","86,414","2,914","12,651","101,979"
"Subtotal, USPP Operations - Washington D.C.","0","427","86,414","86,414","2,914","12,651","101,979"
"Total, Park Base","10,253","15,238","1,522,247","1,522,247","40,181","158,988","1,721,416"
"Central Offices","","","","","","",""
"Washington Office","0","307","87,128","87,128","1,981","26,667","115,776"
"Departmental Unified Regions","0","900","139,475","139,475","5,457","16,264","161,196"
"Total, Central Offices","0","1,207","226,603","226,603","7,438","42,931","276,972"
"Program/Support Offices","","","","","","",""
"Park Administrative Support Functions","","","","","","",""
"Accounting Operations Center","0","92","13,292","13,292","544","454","14,290"
"Park Concession Program","0","14","4,670","4,670","95","89","4,854"
"Human Resources Operation Center","0","40","8,942","8,942","303","246","9,491"
"Information Technology Programs","0","90","51,098","51,098","648","8,034","59,780"
"Major Acquisition Buying Offices","0","173","18,650","18,650","8,258","776","27,684"
"Servicing Human Resources Office","0","230","27,819","27,819","1,281","1,077","30,177"
"Learning and Development Program","0","74","14,876","14,876","412","317","15,605"
"Subtotal, Park Administrative Support Functions","0","713","139,347","139,347","11,541","10,993","161,881"
"Park Natural Resource Support Functions","","","","","","",""
"Air Quality Program","0","20","8,029","8,029","171","136","8,336"
"Biological Resource Management Program","0","21","9,202","9,202","129","2,110","11,441"
"Geologic Resource Center","0","10","4,328","4,328","106","2,591","7,025"
"Cooperative Landscape Conservation","0","8","1,426","1,426","56","1,544","3,026"
"Inventory and Monitoring Program","0","223","45,177","45,177","1,089","20,037","66,303"
"Natural Sounds Program","0","17","3,584","3,584","106","89","3,779"
"Resource Damage Assessment & Restoration","0","6","1,399","1,399","51","45","1,495"
"Social Science Program","0","7","1,506","1,506","46","3,530","5,082"
"Everglades Restoration and Research:","","","","","","",""
"South Florida Comprehensive Ecosystem
Restoration Plan","0","25","4,949","4,949","149","121","5,219"
"South Florida Critical Ecosystem Studies Initiative","0","7","3,970","3,970","54","44","4,068"
"South Florida Task Force Support","0","4","1,363","1,363","6","1,005","2,374"
"Water Resources Program","0","32","13,038","13,038","302","1,741","15,081"
"Subtotal, Park Natural Resource Support
Functions","0","380","97,971","97,971","2,265","32,993","133,229"
"Park Cultural Resource Support Functions","","","","","","",""
"Field Resource Centers:","","","","","","",""
"Midwest Archeological Center","0","22","1,383","1,383","64","56","1,503"
"National Capital Museum Resource Center","0","4","672","672","19","20","711"
"Southeast Archeological Center","0","28","1,067","1,067","28","30","1,125"
"Western Archeological Center","0","10","1,304","1,304","40","34","1,378"
"National Networks","","","","","","",""
"African American Civil Rights Network","0","2","375","375","9","5,000","5,384"
"Underground Railroad to Freedom Network","0","1","1,239","1,239","5","4","1,248"
"Reconstruction Era National Historic Network","0","2","375","375","11","0","386"
"World War II Heritage Cities Network","0","0","375","375","0","0","375"
"Cultural Resources Project Support","0","19","3,198","3,198","142","0","3,340"
"Subtotal, Park Cultural Resource Support
Functions","0","88","9,988","9,988","318","5,144","15,450"
"Park Facility Maintenance Support Functions","","","","","","",""
"D.C. Water & Sewer Program","0","0","17,376","17,376","0","-5,063","12,313"
"Land Use Planning","0","0","150","150","0","0","150"
"Facility Management Program Support:","","","","","","",""
"Enterprise Facility Management Software System","0","8","7,180","7,180","105","0","7,285"
"Asset Management Program","0","9","9,128","9,128","110","0","9,238"
"Maintenance Project Planning","0","0","12,278","12,278","0","14","12,292"
"Subtotal, Park Facility Maintenance Support
Functions","0","17","46,112","46,112","215","-5,049","41,278"
"Park Interpretation & Education Support","","","","","","",""
"Functions","","","","","","",""
"Informational Publications","0","16","3,406","3,406","92","71","3,569"
"Interpretation and Education Programs","0","5","1,970","1,970","65","33,426","35,461"
"Subtotal, Park Interpretation & Education
Support Functions","0","21","5,376","5,376","157","33,497","39,030"
"Park Visitor Protection Support Functions","","","","","","",""
"Public Health Program","0","4","3,507","3,507","23","1,018","4,548"
"Special Agents (Criminal Investigators)","0","42","7,362","7,362","270","270","7,902"
"Fire and Aviation Management Program","0","44","1,709","1,709","39","24","1,772"
"SW Border Radio Communications Program","0","0","582","582","0","0","582"
"Federal Law Enforcement Training Center","0","13","5,106","5,106","90","2,292","7,488"
"Office of Public Trust – Body-Worn Cameras Program","0","0","0","0","0","4,100","4,100"
"United States Park Police Headquarters","0","93","28,419","28,419","285","-1,761","26,943"
"Subtotal, Park Visitor Protection Support
Functions","0","196","46,685","46,685","707","3,643","51,035"
"Park Partnership Support Functions","","","","","","",""
"Volunteers In Parks Program","0","0","6,919","6,919","8","8","6,935"
"Youth Partnership Programs","0","4","760","760","26","24","810"
"Subtotal, Park Partnership Support Functions","0","4","7,679","7,679","34","32","7,745"
"Total, Program/Support Offices","0","1,419","353,158","353,158","15,237","81,253","449,648"
"PROJECT FUNDING","","","","","","",""
"Natural Resources Project Funds","","","","","","",""
"Natural Resources","0","0","14,316","14,316","0","21,571","35,887"
"SW Border Resource Restoration Program","0","0","971","971","0","0","971"
"Subtotal, Natural Resources Project Funds","0","0","15,287","15,287","0","21,571","36,858"
"Cultural Resources Project Funds
Cultural Resources","0","0","23,985","23,985","0","0","23,985"
"Subtotal, Cultural Resources Project Funds","0","0","23,985","23,985","0","0","23,985"
"Facility Maintenance Project Funds","","","","","","",""
"Cyclic Maintenance","0","0","188,184","188,184","0","0","188,184"
"Emergency Management and Damage Program","0","0","2,712","2,712","0","0","2,712"
"Environmental Management Program","0","0","6,113","6,113","0","8,000","14,113"
"Repair/Rehabilitation Projects","0","0","135,980","135,980","0","0","135,980"
"Subtotal, Facility Maintenance Project Funds","0","0","332,989","332,989","0","8,000","340,989"
"Interpretation & Education Project Funds
Interpretation & Education Program","0","0","1,848","1,848","0","2,000","3,848"
"Subtotal, Interpretation & Education Project
Funds","0","0","1,848","1,848","0","2,000","3,848"
"Recreation & Partnership Project Funds","","","","","","",""
"Challenge Cost Share Program","0","0","386","386","0","0","386"
"Connecting National Trails to Park Program","0","0","925","925","0","0","925"
"Recreational Access Program","0","0","3,350","3,350","0","0","3,350"
"Youth Partnership Program","0","0","11,546","11,546","0","0","11,546"
"Subtotal, Recreation & Partnership Project
Funds","0","0","16,207","16,207","0","0","16,207"
"Total, Projects","0","0","390,316","390,316","0","31,571","421,887"
"Total, Park Management","0","0","2,492,324","2,492,324","62,856","317,043","2,872,223"
"External Administrative Costs","0","0","195,963","195,963","6,325","15,345","217,633"
"Total, Operation of the National Park System","0","0","2,688,287","2,688,287","69,181","332,388","3,089,856"
