"OPERATION OF THE NATIONAL PARK SYSTEM ORGANIZATIONS","FY 2019
Park
Base
FTE^{1}","FY 2019
Total
FTE^{2}","FY 2019
Actual^{6}","FY 2020
Enacted","FY 2021
Fixed Costs
& Internal
Transfers","FY 2021
Program
Changes","FY 2021
Request"
"Washington D.C. Metropolitan Area USPP Operations","0","303","54756","56110","1514","-4052","53572"
"Subtotal, USPP Operations - Washington D.C.","0","508","81508","83655","2356","-6041","79970"
"Total, Park Base^{4}","10295","15214","1429268","1474611","18452","-108002","1385061"
"Central Offices^{5}","","","","","","",""
"Washington Office","0","270","85449","86872","1998","-8156","80714"
"Departmental Unified Regions","0","1454","130536","134042","2180","-7983","128239"
"Total, Central Offices","0","1724","215985","220914","4178","-16139","208953"
"Program/Support Offices","","","","","","",""
"Park Administrative Support Functions","","","","","","",""
"Accounting Operations Center","0","109","12693","13051","276","-942","12385"
"Park Concession Program","0","16","4552","4620","56","3166","7842"
"Human Resources Operation Center","0","42","8632","8812","145","-636","8321"
"Information Technology Programs","0","79","40197","42558","291","13181","56030"
"Major Acquisition Buying Offices","0","0","17842","18317","375","-1322","17370"
"Servicing Human Resources Office","0","8","20182","20818","6732","-1504","26046"
"Training Programs:","","","","","","",""
"Learning and Development Program","0","77","14984","15246","-349","-1101","13796"
"Federal Law Enforcement Training Center","0","15","4983","5047","66","-364","4749"
"Subtotal, Park Administrative Support Functions","0","346","124065","128469","7592","10478","146539"
"Park Natural Resource Support Functions","","","","","","",""
"Air Quality Program","0","20","7902","8007","80","-578","7509"
"Biological Resource Management Program","0","25","9023","9100","63","-657","8506"
"Geologic Resource Center","0","16","4204","4280","61","-309","4032"
"Cooperative Landscape Conservation","0","8","1398","1429","22","-103","1348"
"Inventory and Monitoring Program","0","224","44515","45221","624","-3266","42579"
"Natural Resources Data & Information Program","0","0","1041","1041","0","-75","966"
"Natural Sounds Program","0","16","3518","3578","48","-258","3368"
"Resource Damage Assessment & Restoration","0","0","1370","1404","28","-101","1331"
"Social Science Program","0","13","1477","1502","20","-108","1414"
"Everglades Restoration and Research:","","","","","","",""
"South Florida Comprehensive Ecosystem Restoration Plan","0","24","4826","4949","72","-377","4644"
"South Florida Critical Ecosystem Studies Initiative","0","8","3876","3970","24","-303","3691"
"South Florida Task Force Support","0","4","1330","1363","12","-104","1271"
"Water Resources Program","0","22","12872","13053","146","-943","12256"
"Subtotal, Park Natural Resource Support Functions","0","380","97352","98897","1200","-7182","92915"
"Park Cultural Resource Support Functions","","","","","","",""
"Field Resource Centers:","","","","","","",""
"Midwest Archeological Center","0","28","1287","1347","46","-97","1296"
"National Capital Museum Resource Center","0","6","646","662","11","-48","625"
"Southeast Archeological Center","0","40","986","1045","43","-75","1013"
"Western Archeological Center","0","11","1237","1279","31","-92","1218"
"National Networks","","","","","","",""
"African American Civil Rights Network","0","0","0","250","0","0","250"
"National Underground Railroad to Freedom Management","0","1","849","1109","7","-80","1036"
"Reconstruction Era National Historic Network","0","0","0","250","0","0","250"
"World War II Heritage Cities Network","0","0","0","250","0","0","250"
"Cultural Resources Project Support","0","0","0","0","1359","0","1359"
"Subtotal, Park Cultural Resource Support Functions","0","86","5005","6192","1497","-392","7297"
"Park Facility Maintenance Support Functions","","","","","","",""
"D.C. Water & Sewer Program","0","0","14261","19775","0","-2399","17376"
"Land Use Planning","0","0","150","150","0","-11","139"
"Facility Management Program Support:","","","","","","",""
"Enterprise Facility Management Software System","0","8","4096","7178","0","-518","6660"
"Condition Assessment Program","0","10","14504","2300","7","-166","2141"
"Asset Management Program","0","0","0","9125","0","-659","8466"
"Maintenance Project Planning","0","0","9980","9977","0","-720","9257"
"Subtotal, Park Facility Maintenance Support Functions","0","18","42991","48505","7","-4473","44039"
"Park Interpretation & Education Support Functions","","","","","","",""
"Informational Publications","0","0","3311","3369","41","-243","3167"
"Interpretation and Education Programs","0","11","1928","2152","20","845","3017"
"Subtotal, Park Interpretation & Education Support Functions","0","11","5239","5521","61","602","6184"
"Park Visitor Protection Support Functions","","","","","","",""
"Public Health Program","0","2","3489","3499","9","-253","3255"
"Special Agents (Criminal Investigators)","0","37","7024","7185","198","-519","6864"
"Fire and Aviation Management Program","0","38","1686","1701","9","-123","1587"
"SW Border Radio Communications Program","0","0","582","582","0","0","582"
"Medical Services Fund","0","0","0","0","0","2000","2000"
"United States Park Police Headquarters","0","118","25039","25566","515","1891","27972"
"Subtotal, Park Visitor Protection Support Functions","0","195","37820","38533","731","2996","42260"
"Park Partnership Support Functions","","","","","","",""
"Outdoor Recreation and Tourism Program","0","0","0","0","0","3000","3000"
"Volunteers In Parks Program","0","0","6906","6914","6","-5006","1914"
"Youth Partnership Programs","0","0","800","824","18","940","1782"
"Subtotal, Park Partnership Support Functions","0","0","7706","7738","24","-1066","6696"
"Total, Program/Support Offices","0","1036","320178","333855","11112","963","345930"
"PROJECT FUNDING","","","","","","",""
"Natural Resources Project Funds","","","","","","",""
"Natural Resources","0","0","13816","13316","0","11896","25212"
"SW Border Resource Restoration Program","0","0","971","971","0","0","971"
"Subtotal, Natural Resources Project Funds","0","0","14787","14287","0","11896","26183"
"Cultural Resources Project Funds
Cultural Resources","0","0","27183","27183","-1359","-12635","13189"
"Subtotal, Cultural Resources Project Funds","0","0","27183","27183","-1359","-12635","13189"
"Facility Maintenance Project Funds","","","","","","",""
"Cyclic Maintenance","0","0","151575","153575","0","34609","188184"
"Emergency Management and Damage Program","0","0","2712","2712","0","-878","1834"
"Environmental Management Program","0","0","6113","6113","0","-1980","4133"
"Repair/Rehabilitation Projects","0","0","135980","135950","0","-14863","121087"
"Subtotal, Facility Maintenance Project Funds","0","0","296380","298350","0","16888","315238"
"Interpretation & Education Project Funds
Interpretation & Education Program","0","0","1848","1848","0","-937","911"
"Subtotal, Interpretation & Education Project Funds","0","0","1848","1848","0","-937","911"
"Recreation & Partnership Project Funds","","","","","","",""
"Challenge Cost Share Program","0","0","386","386","0","-386","0"
"Connecting National Trails to Park Program","0","0","925","925","0","-299","626"
"Recreational Access Program","0","0","0","200","0","18606","18806"
"Youth Partnership Program","0","0","10846","10846","0","-6218","4628"
"Subtotal, Recreation & Partnership Project Funds","0","0","12157","12357","0","11703","24060"
"Total, Projects","0","0","352355","354025","-1359","26915","379581"
"Total, Park Management","0","0","2317786","2383405","32383","-96263","2319525"
"External Administrative Costs","0","0","184925","193587","2376","1202","197165"
"Total, Operation of the National Park System","0","0","2502711","2576992","34759","-95061","2516690"
